
Connected devices:
IP: 10.81.0.1, MAC: 00:00:5e:00:01:51
IP: 10.81.0.2, MAC: 00:be:75:f2:8b:3f
IP: 10.81.0.3, MAC: 00:be:75:f2:94:ff
IP: 10.81.0.28, MAC: e0:d4:e8:b8:64:e2
IP: 10.81.0.27, MAC: 34:6f:24:9a:34:8b
IP: 10.81.0.31, MAC: 4c:44:5b:42:90:9b
IP: 10.81.0.48, MAC: 6c:6a:77:a2:92:9d
IP: 10.81.0.42, MAC: 4c:1d:96:74:43:f7
IP: 10.81.0.56, MAC: 74:04:f1:dd:c6:e7
IP: 10.81.0.75, MAC: 90:48:9a:2f:dd:e9
IP: 10.81.0.76, MAC: be:51:3d:9d:c6:6d
IP: 10.81.0.81, MAC: 92:bd:1f:18:c8:8d
IP: 10.81.0.72, MAC: 64:49:7d:61:d6:09
IP: 10.81.0.55, MAC: 2e:bf:6e:41:4f:ee
IP: 10.81.0.88, MAC: ba:6f:7d:95:34:ef
IP: 10.81.0.43, MAC: f6:1c:31:6d:6f:86
IP: 10.81.0.86, MAC: 06:90:31:03:b3:ca
IP: 10.81.0.33, MAC: 1e:95:37:01:af:76
IP: 10.81.0.80, MAC: 06:d4:8d:e1:b6:4b
IP: 10.81.0.34, MAC: 50:28:4a:7e:be:9a
IP: 10.81.0.58, MAC: e2:c3:b7:7e:b4:41
IP: 10.81.0.78, MAC: b4:b5:b6:f3:0b:83
IP: 10.81.0.83, MAC: be:c1:3a:70:3e:9b
IP: 10.81.0.14, MAC: c4:23:60:b1:30:82
IP: 10.81.0.24, MAC: ce:7a:00:a5:ba:5e
IP: 10.81.0.69, MAC: f4:30:8b:6d:f3:d5
IP: 10.81.0.46, MAC: cc:6b:1e:9a:00:49
IP: 10.81.0.49, MAC: 42:92:0f:88:f2:cf
IP: 10.81.0.59, MAC: 2c:fe:4f:cd:8c:dd
IP: 10.81.0.74, MAC: d0:39:57:76:bf:17
IP: 10.81.0.61, MAC: 86:e3:eb:63:d2:08
IP: 10.81.0.91, MAC: 4e:0e:68:d5:22:d6
IP: 10.81.0.62, MAC: 92:1f:be:eb:af:28
IP: 10.81.0.97, MAC: 72:ee:27:23:de:3a
IP: 10.81.0.21, MAC: 32:61:e1:9f:bb:8b
IP: 10.81.0.39, MAC: ae:8f:78:ab:0c:ee
IP: 10.81.0.51, MAC: 76:36:4a:7d:e0:61
IP: 10.81.0.45, MAC: f6:5c:79:e6:31:6a
IP: 10.81.0.11, MAC: 1a:e2:21:87:b4:1b
IP: 10.81.0.32, MAC: 26:f7:fe:81:2f:8c
IP: 10.81.0.29, MAC: 3a:95:f1:ca:b9:da
IP: 10.81.0.13, MAC: ba:db:f6:e4:dc:01
IP: 10.81.0.40, MAC: 02:8b:e6:2f:43:33
IP: 10.81.0.16, MAC: 5a:9d:01:3b:31:b2
IP: 10.81.0.30, MAC: de:a1:f5:1c:68:23
IP: 10.81.0.18, MAC: 52:94:0f:16:6e:8a
IP: 10.81.0.79, MAC: 26:9c:aa:f1:01:de
IP: 10.81.0.50, MAC: 2e:5a:b1:46:b8:ab
IP: 10.81.0.36, MAC: fe:8c:b7:43:c5:7c
IP: 10.81.0.63, MAC: 0a:4c:76:46:0c:a8
IP: 10.81.0.65, MAC: 12:e1:40:f2:5c:d1
IP: 10.81.0.23, MAC: 82:52:1a:d7:e0:95
IP: 10.81.0.54, MAC: a2:8c:53:85:71:17
